297653.50942276296,0.00026956,3.3596109850654603e-06,1569054903,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054906,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054906,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054909,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054909,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054913,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054913,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054916,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054916,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054919,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054919,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054922,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054922,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054925,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054925,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054928,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054928,bids
