price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054792,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054792,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054795,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054795,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054799,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054799,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054802,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054802,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054805,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054805,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054808,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054808,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054811,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054811,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054814,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054814,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054817,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054817,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054821,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054821,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054824,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054824,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054827,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054827,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054830,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054830,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054833,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054833,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054837,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054837,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054840,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054840,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054843,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054843,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054846,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054846,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054849,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054849,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054852,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054852,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054856,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054856,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054859,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054859,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054862,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054862,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054865,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054865,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054868,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054868,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054871,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054871,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054875,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054875,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054878,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054878,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054881,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054881,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054884,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054884,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054887,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054887,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054890,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054890,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054893,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054893,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054897,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054897,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054900,asks
297653.50942276296,0.00026956,3.3596109850654603e-06,1569054900,bids
price,vol,invert,timestamp,type
300321.946,0.005,3.3297599903005423e-06,1569054903,asks
